物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
基隆市中山區統一新城帶車庫裝潢1樓,基隆市中山區復興路,公寓,43.8年,34.37,3房(室)2廳3衛,B1~2/5樓,"1,088 萬"
基隆市中正區祥豐街文教學區景觀宅,基隆市中正區祥豐街,華廈,32.1年,43.94,3房(室)2廳2衛,7/7樓,898 萬
暖暖街透天室內大空間.門口可停車近郵局100公尺,基隆市暖暖區暖暖街,透天厝,36.5年,38.65,4房(室)3廳3衛,1~2/2樓,"1,588 萬"
基隆復興路新橫濱商圈裝潢精美3房,基隆市中山區復興路,公寓,45.0年,30.1,3房(室)2廳2衛,3/4樓,598 萬
L594 臨八堵車站旁精選金華土地,基隆市暖暖區金華段,土地,N/A,--,#NAME?,#NAME?,"1,500 萬"
七堵精華區、樓層低、總價低、近學區、市場、車站,基隆市七堵區崇廉街,公寓,49.1年,26.61,4房(室)2廳1衛,2/4樓,688 萬
基隆市七堵區七堵國小低樓層3房、近車站、市場,基隆市七堵區永富路,公寓,51.9年,22.81,3房(室)2廳1衛,3/4樓,666 萬
基隆市七堵區七堵國小低樓層3房、近車站、市場,基隆市七堵區永富路,公寓,51.9年,22.81,3房(室)2廳1衛,3/4樓,666 萬
(424)樹學院牛津區山景武崙學區電梯三房平面車,基隆市安樂區武崙街,華廈,3.0年,47.08,3房(室)2廳2衛,5/5樓,"1,628 萬"
《德安家康》透天,基隆市中山區德安路,透天厝,19.0年,87.26,5房(室)4廳4衛,B1~4/4樓,"1,980 萬"
愛買基隆店.巴塞隆納-景觀裝潢大四房+車,基隆市中正區新豐街,電梯大樓,27.9年,55.05,4房(室)2廳2衛,19/19樓,"1,350 萬"
國城山海關內梯樓中樓景觀屋有輪停車位,基隆市安樂區樂利三街,電梯大樓,34.2年,69.01,5房(室)2廳3衛,16~17/17樓,"1,880 萬"
中正區祥豐街店面開啟財富賺錢之門,基隆市中正區祥豐街,華廈,31.8年,36.75,1房(室)2廳1衛,1/7樓,"1,790 萬"
德安美麗薈未來捷運旁5+6樓美寓,基隆市七堵區溪頭街,公寓,43.4年,35.07,6房(室)3廳2衛,5/5樓,880 萬
安樂區鄰近基隆長庚.火車站.公寓3樓方便停車,基隆市安樂區崇德路,公寓,30.7年,44.34,3房(室)2廳2衛,3/5樓,698 萬
專海洋大學世界三房兩衛平車溫馨宅,基隆市中正區新豐街,電梯大樓,29.6年,45.15,3房(室)2廳2衛,6/15樓,968 萬
新豐商圈海洋大學世界前區經典4房,基隆市中正區新豐街,電梯大樓,29.3年,43.86,4房(室)2廳2衛,3/14樓,958 萬
基隆市信義區教忠街深美五期5房別墅,基隆市信義區教忠街,透天厝,16.3年,67.15,5房(室)3廳4衛,1~4/4樓,"1,880 萬"
漂亮夢悅城邊間三房附平面車位,基隆市中山區復興路,電梯大樓,1.7年,45.73,3房(室)2廳2衛,6/22樓,"1,598 萬"
基隆市中山區復興路統一新城大家庭公寓,基隆市中山區復興路,公寓,43.8年,34.37,3房(室)2廳3衛,1~2/5樓,"1,088 萬"
基隆市安樂區大慶大城前區陽光3房,基隆市安樂區中和路,公寓,30.8年,32.41,3房(室)2廳2衛,4/5樓,398 萬
基隆市信義區義五路黃金地段面寬店面,基隆市信義區義五路,公寓,46.7年,28.28,3房(室)5廳3衛,1/5樓,"2,580 萬"
