鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
美濃區,房地(土地+建物),高雄市美濃區民權路３之１３號,110.65,1130920,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,202.8,5,2,5,有,無,9150000,45118,,0,0,RPQNMLSJKIJGFKE88DA,195.55,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之１５號,106.43,1130920,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,199.35,5,2,5,有,無,12000000,60196,,0,0,RPSNMLSJKIJGFKE09DA,192.1,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之２號,109.79,1130920,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,203.67,4,2,5,有,無,10000000,49099,,0,0,RPPNMLTJKIJGFKE88DA,196.42,0,7.25,無
前金區,房地(土地+建物),高雄市前金區允文街５１號四樓之７,3.48,1130905,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940624,45.53,1,1,1,有,有,4650000,102130,,0,0,RPSOMLQJRHJGFAE58DA,27.98,0,0,有
三民區,房地(土地+建物)+車位,高雄市三民區博愛一路７０號五樓之１,19.35,1130922,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0791228,211.52,0,0,0,無,有,15880000,75076,升降機械,0,0,RPQOMLQLRHJGFDE88DA,106.52,0,32.75,有
三民區,房地(土地+建物),高雄市三民區鼎新路１９９巷９號十五樓之４,9.93,1130903,土地1建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840128,113.72,3,2,2,有,有,5800000,51002,,0,0,RPSOMLPLKIJGFDE38DA,71.52,1.43,11.48,有
楠梓區,房地(土地+建物),高雄市楠梓區朝新路１７２號九樓,9.63,1130914,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1051025,109.92,3,2,2,有,有,10500000,95524,,0,0,RPSPMLTJKIJGFEE78DA,62.9,0.16,6.44,有
岡山區,房地(土地+建物)+車位,高雄市岡山區華園路９５巷２號五樓,18.51,1130911,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830120,133.62,3,2,2,有,有,8500000,63613,坡道平面,0,0,RPQNMLNLRHJGFFE68DA,83.14,0,10.09,有
美濃區,房地(土地+建物),高雄市美濃區民權路３之１１號,110.11,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,178.57,4,2,5,有,無,9500000,53200,,0,0,RPPNMLPJKIJGFKE48DA,171.32,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之１２號,114.54,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,179.37,4,2,5,有,無,9500000,52963,,0,0,RPQNMLPJKIJGFKE58DA,172.12,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之５號,119.24,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,179.37,4,2,5,有,無,10500000,58538,,0,0,RPRNMLPJKIJGFKE68DA,172.12,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之２３號,111.68,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,178.66,4,2,5,有,無,10000000,55972,,0,0,RPQNMLQJKIJGFKE68DA,171.41,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之２２號,119.38,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,178.66,4,2,5,有,無,10000000,55972,,0,0,RPSNMLQJKIJGFKE88DA,171.41,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之１０號,117.05,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,178.57,4,2,5,有,無,10000000,56000,,0,0,RPTNMLQJKIJGFKE98DA,171.32,0,7.25,無
美濃區,房地(土地+建物),高雄市美濃區民權路３之９號,117.06,1130920,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130716,178.57,4,2,5,有,無,9200000,51520,,0,0,RPPNMLRJKIJGFKE68DA,171.32,0,7.25,無
