鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０５號六樓,10.29,商,,,1121007,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,123.73,2,2,1,有,有,10870000,96841,坡道平面,27.49,1550000,預售屋、或土地及建物分件登記案件；,RPSOMLPLLHKGFBH58DA,58.24,2.3,3.91,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１１號九樓,14.64,商,,,1121002,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.94,3,2,2,有,有,14630000,95126,坡道平面,27.49,1650000,預售屋、或土地及建物分件登記案件；,RPSOMLRJLHKGFBH58DA,83.12,1.95,6.42,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１１號十一樓,14.64,商,,,1121020,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.94,3,2,2,有,有,14640000,95566,坡道平面,27.49,1600000,預售屋、或土地及建物分件登記案件；,RPOPMLRJLHKGFBH28DA,83.12,1.95,6.42,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１１號十二樓,14.64,商,,,1121020,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,163.94,3,2,2,有,有,14430000,95859,坡道平面,27.49,1350000,預售屋、或土地及建物分件登記案件；,RPQPMLRJLHKGFBH48DA,83.12,1.95,6.42,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１５號五樓,14.64,商,,,1121010,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,164.31,3,2,2,有,有,14330000,93773,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPXRMLRKLHKGFBH86DA,83.31,1.87,6.39,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１２３號四樓,10.29,商,,,1121006,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,127.06,2,2,1,有,有,10090000,89878,坡道平面,30.93,1450000,預售屋、或土地及建物分件登記案件；,RPVQMLKKLHKGFBH48DA,56.83,1.2,6.32,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１２７號十二樓,14.8,商,,,1121001,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,165.98,3,2,2,有,有,14770000,95458,坡道平面,27.49,1550000,預售屋、或土地及建物分件登記案件；,RPVRMLOKLHKGFBH98DA,83.31,2.55,6.81,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０９號四樓,13.4,商,,,1121014,土地1建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,152.53,3,2,2,有,有,12840000,89491,坡道平面,27.49,1650000,預售屋、或土地及建物分件登記案件；,RPSPMLRKLHKGFBH78DA,78.26,1.81,3.73,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１０５號五樓,10.29,商,,,1121007,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,123.73,2,2,1,有,有,10640000,94971,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPOOMLOLLHKGFBH08DA,58.24,2.3,3.91,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區松勇路１１３號十三樓,10.4,商,,,1121014,土地1建物1車位1,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140429,124.7,2,2,2,有,有,11060000,98344,坡道平面,27.49,1500000,預售屋、或土地及建物分件登記案件；,RPWSMLMKNHKGFBH56DA,59.52,1.75,3.87,有,
