鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６６號六樓之１,22.77,1101227,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,117.16,2,2,1,有,有,9350000,96380,坡道平面,36.23,1550000,RPXOMLPLMHKGFHB56DA,50.41,0,3.31,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６６號六樓之５,29.58,1101207,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,140.82,3,2,2,有,有,11650000,96568,坡道平面,36.23,1550000,RPQPMLPLMHKGFHB58DA,65.86,0,3.56,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６６號六樓之６,26.78,1101214,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,130.81,2,2,2,有,有,10850000,98858,坡道平面,36.23,1500000,RPRPMLPLMHKGFHB68DA,59.03,0,3.75,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６６號六樓之７,26.38,1101208,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,129.56,2,2,2,有,有,10600000,96968,坡道平面,36.23,1550000,RPSPMLPLMHKGFHB78DA,58.46,0,3.49,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６８號六樓之２,22.84,1101207,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,117.1,2,2,1,有,有,9400000,98924,坡道平面,36.23,1400000,RPUPMLPLMHKGFHB98DA,49.46,0,4.22,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６８號六樓之３,26.31,1101207,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,129.4,2,2,2,有,有,10650000,98208,坡道平面,36.23,1500000,RPVPMLPLMHKGFHB09DA,57.87,0,3.97,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６８號六樓之５,29.58,1101207,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,140.82,3,2,2,有,有,11550000,95611,坡道平面,36.23,1550000,RPSNMLTLMHKGFHB98DA,65.86,0,3.56,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６８號六樓之７,26.38,1101206,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,129.56,2,2,2,有,有,10750000,99111,坡道平面,36.23,1500000,RPUNMLTLMHKGFHB56DA,58.46,0,3.49,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６６號七樓之１,22.77,1101205,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,117.16,2,2,1,有,有,9300000,96997,坡道平面,36.23,1450000,RPVNMLTLMHKGFHB66DA,50.41,0,3.31,有
潭子區,房地(土地+建物)+車位,臺中市潭子區弘智一街１６８號七樓之１,22.77,1101204,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140421,117.16,2,2,1,有,有,9200000,95762,坡道平面,36.23,1450000,RPROMLTLMHKGFHB98DA,50.41,0,3.31,有
