物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
敦南凱悅豪邸坡車,台北市大安區敦化南路二段 藍天凱悅,住宅大樓,39.9年,建坪84.80,3房(室)3廳3衛,13/26樓,"9,900 萬"
錦西路旁大土地,台北市大同區錦西街,公寓,65.4年,建坪16.41,2房(室)2廳2衛(含加蓋1房(室)--廳1衛),1/1樓,"8,000 萬"
樹海景觀中正學區,台北市大安區和平東路一段 金石名園,辦公商業大樓,37.2年,建坪63.82,4房(室)2廳2衛,5/12樓,"6,600 萬"
中正國中電梯美宅,台北市中正區仁愛路二段 群樂大廈,華廈,41.6年,建坪57.56,4房(室)2廳2衛(含加蓋--房(室)--廳1衛),5~6/6樓,"6,880 萬"
濟南新生靜巷頂家,台北市大安區濟南路三段 海關商圈,公寓,57.4年,建坪33.27,5房(室)2廳3衛(含加蓋1房(室)--廳1衛),5/5樓,"3,780 萬"
大吉吉高樓雙露台,台北市中山區民生東路二段,住宅大樓,3.8年,建坪98.58,--房(室)1廳3衛,11/13樓,"9,688 萬"
世貿置產收租最愛,台北市信義區吳興街,公寓,47.3年,建坪27.48,7房(室)--廳7衛(含加蓋2房(室)--廳2衛),5/5樓,"2,380 萬"
公園旁美妝三房,台北市信義區大道路,公寓,41.7年,建坪30.12,3房(室)2廳2衛,4/5樓,"2,480 萬"
三井南軟金店霸,台北市南港區重陽路 經貿BOSS,店面,16.7年,建坪38.92,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),1/7樓,"4,100 萬"
新潤雙主臥四房車,台北市北投區磺港路 新潤和峰,住宅大樓,11.3年,建坪80.26,4房(室)2廳3衛,12/14樓,"6,688 萬"
德安碧湖寬敞店面,台北市內湖區金龍路,店面,46.2年,建坪21.70,#NAME?,1/5樓,"3,680 萬"
忠泰雲端美居,台北市中山區林森北路 忠泰味,住宅大樓,11.9年,建坪28.70,1房(室)1廳1衛,21/24樓,"3,568 萬"
超高遠景日月星辰,台北市中山區林森北路 忠泰味,住宅大樓,11.9年,建坪61.59,3房(室)2廳2衛,21/24樓,"7,768 萬"
新生金華庭院車庫,台北市大安區永康街,公寓,49.2年,建坪39.06,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),B1~1/4樓,"5,500 萬"
忠孝界次高美妝,台北市信義區中坡南路 忠孝界,華廈,11.9年,建坪25.87,3房(室)2廳1衛(含加蓋2房(室)--廳--衛),6/7樓,"2,698 萬"
忠孝界次高美妝,台北市信義區中坡南路 忠孝界,華廈,11.9年,建坪25.87,3房(室)2廳1衛(含加蓋2房(室)--廳--衛),6/7樓,"2,698 萬"
瑞光百坪電梯別墅,台北市內湖區瑞光路 香波堡,透天厝,17.7年,建坪163.02,7房(室)2廳7衛(含加蓋2房(室)--廳1衛),B1~4/4樓,"11,000 萬"
生活名邸綠景四房,台北市內湖區金龍路 昇陽生活,住宅大樓,28.9年,建坪74.54,4房(室)2廳2衛,2/15樓,"4,580 萬"
雙敦延吉金店透天,台北市松山區延吉街,透天厝,61.4年,建坪12.84,--房(室)2廳1衛(含加蓋--房(室)1廳--衛),1/1樓,"5,400 萬"
新幸鴻兩間收租強,台北市大同區民權西路 幸鴻大樓,辦公商業大樓,38.6年,建坪42.36,2房(室)2廳2衛,2/15樓,"3,200 萬"
低總價黃金三樓,台北市信義區中坡南路,公寓,42.2年,建坪23.73,2房(室)2廳1衛,3/5樓,"2,198 萬"
興安低總價多用途,台北市中山區興安街 興安國宅-北區,辦公商業大樓,39.5年,建坪32.20,4房(室)2廳1衛,2/14樓,"2,560 萬"
宏普名人奢華豪邸,台北市信義區富陽街 宏普名人居,華廈,14.8年,建坪61.92,3房(室)2廳2衛,4/7樓,"5,888 萬"
面學校難得頂佳,台北市信義區忠孝東路五段,公寓,49.7年,建坪30.34,4房(室)3廳2衛(含加蓋1房(室)1廳1衛),4/4樓,"2,780 萬"
大氣美景坡平車位,台北市內湖區成功路五段 大氣天成,住宅大樓,15.6年,建坪100.84,3房(室)2廳2衛,8/11樓,"7,180 萬"
金石山莊獨院別墅,台北市文山區秀明路一段 金石山莊,透天厝,34.6年,建坪120.56,6房(室)4廳4.5衛(含加蓋--房(室)1廳0.5衛),B1~3/3樓,"6,388 萬"
中山花博天璽三房,台北市中山區農安街 聖德福天璽,辦公商業大樓,9.0年,建坪65.95,3房(室)2廳2衛,3/14樓,"5,308 萬"
北市稀有水岸兩房,台北市萬華區環河南路二段 川悅,住宅大樓,5.1年,建坪27.33,2房(室)2廳1.5衛,22/24樓,"2,800 萬"
公園景觀捷運美宅,台北市信義區忠孝東路五段,公寓,53.2年,建坪23.88,2房(室)2廳2衛,2/4樓,"2,600 萬"
高樓名宅基泰臺大,台北市大安區羅斯福路三段 基泰台大,住宅大樓,12.6年,建坪108.08,4房(室)2廳3衛,16/19樓,"11,800 萬"
大安面公園三房,台北市大安區大安路一段 尊群大廈,華廈,15.7年,建坪57.37,3房(室)2廳2衛,2/10樓,"7,880 萬"
公園景觀晶華名邸,台北市南港區經貿二路 東方晶華,住宅大樓,17.1年,建坪61.20,4房(室)2廳2衛,2/12樓,"5,200 萬"
適文武百業大空間,台北市士林區華聲街,公寓,46.1年,建坪71.90,--房(室)2廳2衛,B1/5樓,"3,500 萬"
陽明山上白雲山莊,台北市士林區仰德大道三段 白雲山莊(公寓),公寓,46.8年,建坪46.95,4房(室)2廳2衛,2/4樓,"1,750 萬"
忠孝界稀有庭院戶,台北市信義區中坡南路 忠孝界,華廈,11.7年,建坪63.33,3房(室)3廳2衛(含加蓋2房(室)--廳--衛),1/7樓,"5,580 萬"
國輝花園優質好房,台北市萬華區國興路 國輝國宅,華廈,34.6年,建坪46.68,3房(室)2廳2衛,10/10樓,"3,800 萬"
