鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
苓雅區,房地(土地+建物),高雄市苓雅區林南街１０巷１號,39.42,1140311,土地1建物1車位0,一層，電梯樓梯間，地下層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730919,194.44,0,0,0,無,有,25200000,129603,,0,0,RPUNMLLLLHKGFBE97DA,172.67,10.76,0,有
苓雅區,房地(土地+建物),高雄市苓雅區河北路７２號,156,1140316,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,810228,542.95,6,4,8,有,無,35000000,64463,,0,0,RPROMLQKMHKGFBE28DA,542.95,0,0,有
三民區,房地(土地+建物)+車位,高雄市三民區鼎金後路４９８之１號九樓,14.67,1140324,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950414,85.28,3,1,2,有,有,7550000,88532,坡道機械,9.93,0,RPTNMLSKOHKGFDE98DA,47.48,0,7.44,有
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十一路１００號四樓,19.97,1140324,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110330,153.08,3,2,2,有,有,14500000,94722,坡道平面,23,0,RPPOMLPLLHKGFEE28DA,75.77,0,8.91,有
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十街２５號二十一樓,12.43,1140323,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1070502,146.66,2,1,1,有,有,14500000,98868,坡道平面,29.91,0,RPQOMLPLOHKGFEE68DA,56.13,0,17.63,有
鳳山區,房地(土地+建物)+車位,高雄市鳳山區保泰路３９６號十六樓之４,13.3,1140325,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830517,184.43,3,2,2,有,有,8700000,47172,坡道平面,0,0,RPQNMLTKNHKGFGE98DA,77.27,33.96,12.96,有
大寮區,房地(土地+建物)+車位,高雄市大寮區潮和路１０號二樓之２,30.55,1140322,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120109,105.16,3,2,2,有,有,7380000,70179,坡道平面,0,0,RPOOMLQLNHKGFLE56DA,60.65,0,6.08,有
鼓山區,房地(土地+建物),高雄市鼓山區臨海二路３０巷４７號,46,1140316,土地1建物1車位0,全,二層,透天厝,,加強磚造,600526,77.63,5,2,3,有,無,5600000,72137,,0,0,RPTNMLRLOHKGFAE68DA,77.63,0,0,無
三民區,房地(土地+建物),高雄市三民區正興路３３號六樓之１,8.75,1140317,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880304,103.71,3,2,2,有,有,7800000,75210,,0,0,RPVOMLTLMHKGFDE66DA,73.69,0,5.38,有
左營區,房地(土地+建物)+車位,高雄市左營區文慈路２５３號十二樓,14.8,1140328,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840824,130.73,3,2,2,有,有,6500000,49721,坡道機械,0,0,RPOOMLRLOHKGFEE68DA,80.99,1.9,14.86,有
