鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
南區,房地(土地+建物),臺南市南區福吉一街４３號,61,住,,,1140413,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,611215,99.28,4,2,2,有,無,8200000,82595,,0,0,頂樓加蓋；其他增建；,RPSNMLNJOHKGFCD08DA,99.28,0,0,無,
麻豆區,房地(土地+建物),臺南市麻豆區寮里寮子３之２７號二樓之１,20.95,,鄉村區,乙種建築用地,1140429,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120922,83.46,2,1,2,有,有,5700000,68296,,0,0,,RPTNMLOKNHKGFFD58DA,57.07,0,5.7,有,
麻豆區,房地(土地+建物),臺南市麻豆區寮里寮子３之２７號四樓之７,20.5,,鄉村區,乙種建築用地,1140429,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120922,81.75,2,1,2,有,有,5200000,63609,,0,0,,RPUNMLOKNHKGFFD68DA,55.78,0,5.69,有,
學甲區,房地(土地+建物),臺南市學甲區麻學路三段４６５巷１６號,132,,鄉村區,乙種建築用地,1140430,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130624,166.72,4,2,4,有,無,9000000,53983,,0,0,,RPVNMLLLNHKGFGD68DA,153.87,0,12.85,無,
西港區,房地(土地+建物)+車位,臺南市西港區溪埔寮５之８號五樓之１,28.28,,鄉村區,乙種建築用地,1140413,土地3建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131004,102.56,3,2,2,有,有,8200000,79953,一樓平面,10.04,0,,RPPNMLOJOHKGFGD28DA,61.18,0,7.53,有,
西港區,房地(土地+建物),臺南市西港區溪埔寮５之８號三樓之７,22.12,,鄉村區,乙種建築用地,1140427,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131004,72.57,2,2,2,有,有,5550000,76478,,0,0,,RPQNMLOJOHKGFGD38DA,47.66,0,6.22,有,
新市區,房地(土地+建物),臺南市新市區民族路１６巷２號,101.2,,特定農業區,甲種建築用地,1140404,土地2建物1車位0,全,一層,透天厝,住家用,磚造,660100,58.65,3,1,1,有,無,5680000,96846,,0,0,,RPPQMLRJMHKGFHD78DA,58.65,0,0,無,
善化區,房地(土地+建物),臺南市善化區茄拔１８１之２８號,123.38,,鄉村區,乙種建築用地,1140424,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1130827,197.12,5,2,5,有,無,18000000,91315,,0,0,,RPPRMLOJOHKGFHD78DA,183.13,0,13.99,無,
新化區,房地(土地+建物)+車位,臺南市新化區頂山５３之４６２號六樓之８,14.07,,特定農業區,甲種建築用地,1140407,土地2建物1車位2,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1120501,83.94,3,2,2,有,有,4040000,48135,坡道平面,37.68,0,買方原持有移轉標的土地、建物、共有部分含2車位一半權利，再購買共有人賣方的另外一半權利，合計持有全部。車位面積包含於共有部分，車位清冊之面積為1/1面積。親友、員工、共有人或其他特殊關係間之交易；,RPWOMLPJOHKGFHD66DA,37.91,0,4.21,有,416
仁德區,房地(土地+建物),臺南市仁德區仁德里淨修街１７５巷６６號,81.51,農,,,1140403,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,640400,84.2,4,2,2,有,無,6380000,75772,,0,0,頂樓加蓋；其他增建；,RPSPMLOJOHKGFID98DA,84.2,0,0,無,
永康區,房地(土地+建物)+車位,臺南市永康區勝學路２３９號十二樓之１,14.79,住,,,1140430,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880701,157.36,4,2,2,有,有,8500000,54016,坡道平面,25.04,0,夾層；,RPOOMLTKNHKGFKD56DA,87.15,2.54,10.67,有,
永康區,房地(土地+建物),臺南市永康區大橋里新興街３５巷１５弄８之６號二樓,21,住,,,1140430,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800123,80.8,2,1,2,有,有,4750000,58787,,0,0,,RPSOMLNLNHKGFKD09DA,52.94,0,10.49,有,
永康區,房地(土地+建物),臺南市永康區成功路１７２巷４７號,86.4,住,,,1140430,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,690322,200.89,7,2,4,有,無,11500000,57245,,0,0,,RPWPNLSLNHKGFKD57DA,200.89,0,0,無,
永康區,房地(土地+建物)+車位,臺南市永康區小東路４２３巷３０號六樓之１,23.44,住,,,1140428,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820,128.68,2,2,1,有,有,13300000,103357,坡道平面,36.71,0,,RPRNMLOJOHKGFKD88DA,53.24,0,5.27,有,417
永康區,房地(土地+建物)+車位,臺南市永康區烏竹里竹園一街４３之１６號,17.62,住,,,1140421,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,871109,129.71,3,1,2,有,有,7000000,53967,坡道平面,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLOJOHKGFKD09DA,72.88,0,22.23,有,
永康區,房地(土地+建物),臺南市永康區王行里育樂街１４３巷２５弄４２號,94.09,住,,,1140418,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,811008,221.47,6,2,7,有,無,12500000,56441,,0,0,其他增建；,RPQOMLQJOHKGFKD09DA,191.75,8.77,20.95,無,
北區,房地(土地+建物),臺南市北區公園路１２８號五樓之２４,15.21,商,,,1140422,土地13建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,700923,108.66,3,2,2,有,有,6000000,55218,,0,0,包含公共設施保留地用地；,RPVRMLNJOHKGFAD58DA,82.35,0,2.05,有,
安南區,房地(土地+建物),臺南市安南區城西街二段１８１巷６１號,124.22,住,,,1140412,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061214,208.98,4,2,3,有,無,15500000,74170,,0,0,,RPVNMLOLMHKGFBD38DA,196.3,0,12.68,無,
東區,房地(土地+建物),臺南市東區裕農路６６８巷３５弄６號,79.24,住,,,1140420,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,700328,188.1,4,3,3,有,無,11000000,58480,,0,0,,RPSNMLTLNHKGFCD78DA,188.1,0,0,無,
新營區,房地(土地+建物)+車位,臺南市新營區金華路一段２８２號十樓,26.8,住,,,1140429,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100209,160.97,3,2,2,有,有,10880000,67590,坡道平面,29.14,0,,RPPNMLPJOHKGFDD08DA,83.91,0,8.04,有,
官田區,房地(土地+建物),臺南市官田區工社西街７巷１４７號,100,住,,,1140417,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1131226,196.45,4,2,3,有,無,14380000,73199,,0,0,,RPSNMLOJOHKGFFD48DA,183.61,0,12.84,無,
七股區,房地(土地+建物),臺南市七股區大寮３５之２號,170.4,,鄉村區,乙種建築用地,1140412,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130410,236.94,5,2,6,有,無,15500000,65417,,0,0,,RPUNMLMLNHKGFGD68DA,219.45,0,17.49,無,
安定區,房地(土地+建物),臺南市安定區港子尾５７之９號,72.78,,鄉村區,乙種建築用地,1140419,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140214,210.9,5,2,6,有,有,16880000,80038,,0,0,,RPQPMLMJOHKGFHD48DA,208.5,0,2.4,無,
歸仁區,房地(土地+建物),臺南市歸仁區南保里大德路３３１號,118.38,住,,,1140402,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,920428,200.69,4,2,4,有,無,14800000,73746,,0,0,陽台外推；其他增建；,RPWNMLTLNHKGFID17DA,193.02,0,7.67,無,
永康區,房地(土地+建物)+車位,臺南市永康區新行街２９１巷２２弄１號七樓之７,34.65,住,,,1140412,土地1建物1車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100331,194.55,3,2,2,有,有,17000000,87381,坡道平面,0,0,,RPRNMLRKMHKGFKD09DA,78.96,0,5.6,有,
永康區,房地(土地+建物)+車位,臺南市永康區復興路２４６巷８號七樓之２,10.95,商,,,1140422,土地1建物1車位1,七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1101229,116.06,2,2,1,有,有,10260000,111295,坡道平面,37.35,1500000,,RPVNMLMLMHKGFKD09DA,48.4,0,4.37,有,
永康區,房地(土地+建物)+車位,臺南市永康區大同街２９３巷１７號七樓之６,38.85,都市：其他:道路用地,,,1140420,土地3建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1121027,136.85,3,2,2,有,有,11220000,81988,坡道平面,32.15,0,,RPOOMLPJOHKGFKD78DA,67.72,0,4.96,有,
永康區,房地(土地+建物),臺南市永康區鹽行里中正北路５４號四樓之３,2.57,住,,,1140303,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830524,34.04,1,0,1,有,有,2100000,61692,,0,0,,RPWNMLRJLHKGFKD76DA,21.09,0,2.98,有,418
