鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,編號,主建物面積,附屬建物面積,陽台面積,電梯
三重區,房地(土地+建物),新北市三重區仁安街１０８號七樓,12.93,1130921,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,74.17,2,1,2,有,有,17800000,239989,,0,0,RPPSMLPLPHKGFGF76DA,44.25,0,3.72,有
三重區,房地(土地+建物),新北市三重區仁安街１１２號四樓,13.73,1130925,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,78.87,2,1,2,有,有,19300000,244706,,0,0,RPTSMLPLPHKGFGF17DA,46.92,0,4.13,有
三重區,房地(土地+建物),新北市三重區仁安街１１２號七樓,13.73,1130924,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,78.87,2,1,2,有,有,19900000,252314,,0,0,RPWSMLPLPHKGFGF47DA,46.92,0,4.13,有
三重區,房地(土地+建物),新北市三重區仁安街１１６號四樓,12.93,1130911,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,74.17,2,1,2,有,有,16460000,221923,,0,0,RPOTMLPLPHKGFGF76DA,44.25,0,3.72,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１８號八樓,21.15,1130922,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,147.87,3,2,2,有,有,31100000,235468,坡道平面,26.41,2500000,RPXTMLPLPHKGFGF67DA,68.22,0,10.4,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１０６號八樓,21.15,1130913,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,147.87,3,2,2,有,有,31950000,241232,坡道平面,26.41,2650000,RPOUMLPLPHKGFGF86DA,68.22,0,10.4,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１２號六樓,13.73,1130928,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,105.28,2,1,2,有,有,22780000,257132,坡道平面,26.41,2500000,RPPUMLPLPHKGFGF96DA,46.92,0,4.13,有
三重區,房地(土地+建物),新北市三重區仁安街１０８號六樓,12.93,1130920,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,74.17,2,1,2,有,有,18350000,247405,,0,0,RPQUMLPLPHKGFGF07DA,44.25,0,3.72,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１２號九樓,13.73,1130918,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,105.28,2,1,2,有,有,21870000,244326,坡道平面,26.41,2600000,RPUUMLPLPHKGFGF47DA,46.92,0,4.13,有
三重區,房地(土地+建物)+車位,新北市三重區水漾路二段１９２號六樓之一,18.71,1130903,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140117,122.12,2,2,1,有,有,19228000,193507,坡道平面,34.64,2300000,RPPNMLKMPHKGFGF48DA,46.87,7.47,3.16,有
土城區,房地(土地+建物)+車位,新北市土城區莊園街３０２號二樓,11.58,1130929,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,103.48,3,2,1,有,有,21490000,224160,坡道平面,19.21,2600000,RPQRNLRJKHKGFAF38DA,50,0,5.01,有
三峽區,房地(土地+建物),新北市三峽區白雞３３之７２號,230.25,1130929,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,701110,170.13,4,2,2,有,無,16200000,95221,,0,0,RPQNMLLMPHKGFIF88DA,141.43,14.35,14.35,無
三重區,房地(土地+建物),新北市三重區自由街１７巷１８號五樓,17.95,1130904,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870723,111.04,3,2,2,有,有,15500000,139589,,0,0,RPXOMLKKOHKGFGF09DA,80.55,1.16,12.44,有
三重區,房地(土地+建物),新北市三重區中正北路２７６巷２６號七樓,14.4,1130904,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830120,90.53,3,2,2,有,有,12050000,133105,,0,0,RPOPMLKKOHKGFGF28DA,73.23,0,7.63,有
三重區,房地(土地+建物),新北市三重區三民街２１８號四樓,21.38,1130904,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660921,77,2,2,1,有,無,8200000,106494,,0,0,RPQPMLKKOHKGFGF48DA,77,0,0,無
三重區,房地(土地+建物),新北市三重區中正北路２７６巷２６號二樓,14.6,1130904,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830120,90.53,0,1,1,有,有,15450000,170662,,0,0,RPRPMLKKOHKGFGF58DA,73.23,0,7.63,有
三重區,房地(土地+建物),新北市三重區中正北路２７６巷２６號,14.4,1130904,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830120,88.01,3,2,2,有,有,11780000,133848,,0,0,RPSPMLKKOHKGFGF68DA,71.2,7.63,0,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１０６號七樓,21.15,1130911,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,147.87,3,2,2,有,有,31680000,239009,坡道平面,26.41,2650000,RPQNMLQJQHKGFGF98DA,68.22,0,10.4,有
三重區,房地(土地+建物),新北市三重區仁安街１１０號四樓,13.73,1130925,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,78.87,2,1,2,有,有,19100000,242171,,0,0,RPUNMLQJQHKGFGF76DA,46.92,0,4.13,有
三重區,房地(土地+建物),新北市三重區仁安街１１０號七樓,13.73,1130929,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,78.87,2,1,2,有,有,19390000,245848,,0,0,RPVNMLQJQHKGFGF86DA,46.92,0,4.13,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１２號十樓,13.73,1130926,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,105.28,2,1,2,有,有,22950000,256118,坡道平面,26.41,2750000,RPXNMLQJQHKGFGF07DA,46.92,0,4.13,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１６號七樓,12.93,1130927,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,100.58,2,1,2,有,有,20900000,248079,坡道平面,26.41,2500000,RPOOMLQJQHKGFGF88DA,44.25,0,3.72,有
三重區,房地(土地+建物),新北市三重區仁安街１１６號八樓,12.93,1130922,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,74.17,2,1,2,有,有,17850000,240663,,0,0,RPPOMLQJQHKGFGF98DA,44.25,0,3.72,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１０號十樓,13.73,1130929,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,105.28,2,1,2,有,有,23300000,263725,坡道平面,26.41,2500000,RPSOMLQJQHKGFGF66DA,46.92,0,4.13,有
三重區,房地(土地+建物),新北市三重區仁安街１１６號五樓,12.93,1130922,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,74.17,2,1,2,有,有,17800000,239989,,0,0,RPUOMLQJQHKGFGF86DA,44.25,0,3.72,有
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段３９９號八樓,42.96,1130908,土地1建物1車位4,八層,三十層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造,1140516,556.13,0,0,0,無,有,76100000,155789,坡道平面,119,8000000,RPTNMLLJQHKGFBF28DA,245.3,0,19.12,有
新莊區,房地(土地+建物)+車位,新北市新莊區中央路８２號八樓,13.22,1130924,土地1建物1車位1,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140306,136.09,1,1,1,有,有,19230000,177103,坡道平面,42.19,2600000,RPVOMLMKQHKGFBF78DA,52.85,2.1,6.17,有
三重區,房地(土地+建物)+車位,新北市三重區仁安街１１０號六樓,13.73,1130924,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,105.28,2,1,2,有,有,22000000,247242,坡道平面,26.41,2500000,RPWSMLNKQHKGFGF27DA,46.92,0,4.13,有
淡水區,房地(土地+建物),新北市淡水區新市一路一段２６０之１號七樓,16.59,1130901,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,78.79,2,2,1,有,有,9420000,119558,,0,0,RPSQMLQJOHKGFEF09DA,45.48,3.34,3.2,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之９號十五樓,23.84,1130914,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,141.59,3,2,2,有,有,14030000,111101,坡道平面,27.91,1400000,RPTOMLPLOHKGFEF09DA,65.84,3.3,5.89,有
三重區,房地(土地+建物),新北市三重區仁安街１１６號三樓,12.93,1130928,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140520,74.17,2,1,2,有,有,18590000,250640,,0,0,RPPNMLTKQHKGFGF66DA,44.25,0,3.72,有
新店區,房地(土地+建物)+車位,新北市新店區文記街６號十二樓,39.74,1130914,土地1建物1車位2,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,285.77,4,2,3,有,有,64750000,282790,坡道平面,75.72,5350000,RPUNMLMKQHKGFCF68DA,129.54,0,10.11,有
新店區,房地(土地+建物)+車位,新北市新店區文記街２號六樓,25.61,1130910,土地1建物1車位2,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,208.02,3,2,2,有,有,41790000,276945,坡道平面,72.65,4300000,RPRNMLLLQHKGFCF38DA,82.11,0,7.89,有
新店區,房地(土地+建物)+車位,新北市新店區文記街２號十樓,25.61,1130905,土地1建物1車位2,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,211.09,3,2,2,有,有,42390000,279161,坡道平面,75.72,4600000,RPTNMLLLQHKGFCF58DA,82.11,0,7.89,有
新店區,房地(土地+建物)+車位,新北市新店區文記街２號十七樓,25.61,1130908,土地1建物1車位2,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,211.09,3,2,2,有,有,45200000,305090,坡道平面,75.72,3900000,RPVNMLLLQHKGFCF78DA,82.11,0,7.89,有
新店區,房地(土地+建物)+車位,新北市新店區文記街２號二十樓,25.61,1130903,土地1建物1車位2,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,211.09,3,2,2,有,有,44040000,286917,坡道平面,75.72,5200000,RPWNMLLLQHKGFCF88DA,82.11,0,7.89,有
新店區,房地(土地+建物)+車位,新北市新店區文記街２號二十二樓,25.61,1130906,土地1建物1車位2,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,211.09,3,2,2,有,有,44070000,290094,坡道平面,75.72,4800000,RPXNMLLLQHKGFCF98DA,82.11,0,7.89,有
新店區,房地(土地+建物)+車位,新北市新店區文記街８號十樓,37.81,1130903,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1140702,237.71,4,2,2,有,有,57680000,277108,坡道平面,37.86,2300000,RPROMLLLQHKGFCF48DA,122.76,0,10.11,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之３號十九樓,28.85,1130901,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,159.69,3,2,2,有,有,15990000,109956,坡道平面,27.91,1500000,RPOTMLLLQHKGFEF88DA,79.74,5.82,2.93,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段２６８之２號二十三樓,22.47,1130907,土地1建物1車位1,二十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,135.19,3,2,2,有,有,13390000,111764,坡道平面,27.91,1400000,RPOWMLLLQHKGFEF56DA,62.06,3.3,5.47,有
中和區,房地(土地+建物)+車位,新北市中和區南山路９１號三樓,17.48,1130823,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851116,87.13,3,2,2,有,有,10000000,114758,升降機械,0,0,RPPPMLNJOHKGFHF68DA,53.93,3.19,6.05,有
土城區,房地(土地+建物)+車位,新北市土城區莊園街１５０號十四樓,14.61,1130809,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140314,125.35,3,2,2,有,有,26050000,220464,坡道平面,19.21,2650000,RPWRMLQJKHKGFAF78DA,56.63,0,12.66,有
板橋區,房地(土地+建物)+車位,新北市板橋區民族路９８之３號九樓,24.13,1130806,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030916,188.03,3,2,2,有,有,35166400,210519,坡道平面,30.51,2005500,RPOOMLQJOHKGFAF08DA,92.89,7.8,4.29,有
三重區,房地(土地+建物)+車位,新北市三重區成功路１２０號七樓之一,31.32,1130814,土地1建物1車位2,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140320,279.92,4,2,2,有,有,47500000,213562,坡道平面,80.68,4950000,RPXRMLSKOHKGFGF67EA,112.77,9.62,11.51,有
