物件標題,地址,物件類型,屋齡,坪數,格局,樓層,價格
新莊捷運小資宅,新北市新莊區新莊路,公寓,53.7年,建坪23.79,3房(室)3廳1.5衛(含加蓋2房(室)1廳--衛),2/4樓,"1,300 萬"
元氣高樓採光優,新北市中和區中山路三段 元氣大鎮,辦公商業大樓,17.4年,建坪28.21,2房(室)2廳1衛,18/19樓,"1,945 萬"
竹城正面公園恆美,新北市新莊區頭前路 竹城新東京,住宅大樓,13.0年,建坪77.77,4房(室)2廳3衛,9/14樓,"5,558 萬"
專任福恩樓大三房,新北市新莊區龍安路 福恩樓,華廈,25.9年,建坪46.11,3房(室)2廳2衛,4/7樓,"1,990 萬"
竹城公園正面樹梢,新北市新莊區頭前路 竹城新東京,住宅大樓,13.0年,建坪81.56,4房(室)2廳3衛,3/14樓,"5,688 萬"
黎明大空間小藍天,新北市新店區黎明路 黎明清境,公寓,35.6年,建坪44.30,3房(室)2廳2衛,3~4/4樓,"1,168 萬"
擁有夢想的權利,新北市永和區保生路 東家創世紀,住宅大樓,25.8年,建坪18.12,1房(室)1廳1衛,12/26樓,"1,388 萬"
御山御景御中央,新北市新店區中央三街 御中央,住宅大樓,10.7年,建坪63.09,3房(室)2廳2衛,7/12樓,"4,688 萬"
成德稀有優質店面,新北市新莊區成德街,店面,47.0年,建坪23.20,2房(室)1廳1衛(含加蓋--房(室)--廳1衛),1/4樓,"2,580 萬"
機捷住宅三房車位,新北市新莊區中央路 都峰苑一期,住宅大樓,12.5年,建坪73.90,3房(室)2廳2衛,13/19樓,"4,380 萬"
中和美宅電梯三房,新北市中和區中山路三段 龍興社區,華廈,28.3年,建坪27.24,3房(室)2廳2衛(含加蓋--房(室)--廳1衛),6/6樓,"1,438 萬"
天闊高樓河景四房,新北市新店區環河路 天闊,住宅大樓,26.1年,建坪51.40,4房(室)2廳3衛,30/34樓,"3,250 萬"
達欣工程景觀兩房,新北市新店區安祥路 國賓山莊,華廈,13.1年,建坪80.72,2房(室)2廳2衛,2/7樓,"2,638 萬"
中正邊間裝潢5樓,新北市永和區中正路,公寓,46.5年,建坪46.01,3房(室)2廳2衛,5/5樓,"2,350 萬"
溫馨邊間天下三房,新北市中和區民德路 天下為公,住宅大樓,30.9年,建坪38.79,3房(室)2廳2衛,6/16樓,"2,080 萬"
大禾首購裝潢兩房,新北市板橋區藝文街 興富發大禾,住宅大樓,5.2年,建坪37.99,2房(室)2廳1衛,14/18樓,"1,988 萬"
新店屋下車庫別墅,新北市新店區安祥路 彩蝶,透天厝,29.0年,建坪64.02,4房(室)2廳3衛,B1~3/3樓,"1,850 萬"
天闊高樓河景美宅,新北市新店區環河路 天闊,住宅大樓,26.1年,建坪76.72,5房(室)2廳3衛,29/36樓,"3,938 萬"
家樂福旁住辦兩用,新北市板橋區三民路二段 台北精點大樓,住宅大樓,31.7年,建坪42.23,2房(室)1廳1衛,4/12樓,"2,198 萬"
板新麗池四房車位,新北市板橋區民生路一段 正隆麗池,住宅大樓,22.7年,建坪72.19,4房(室)2廳2衛,22/29樓,"3,980 萬"
江翠別有洞天二樓,新北市板橋區懷德街,公寓,48.1年,建坪20.44,3房(室)2廳1衛(含加蓋1房(室)--廳--衛),2/4樓,"1,188 萬"
專任民安兩房車位,新北市新莊區民安西路 和耀民安讚,住宅大樓,6.7年,建坪39.43,2房(室)2廳1衛,8/15樓,"1,798 萬"
邊間捷運大兩房車,新北市新莊區福前街 合康新時代,住宅大樓,11.9年,建坪37.91,2房(室)2廳1衛,12/14樓,"2,380 萬"
小資首選捷運美宅,新北市新莊區福前街 合康新時代,住宅大樓,11.9年,建坪28.54,1房(室)1廳1衛,5/14樓,"1,588 萬"
露臺光華電梯三房,新北市新莊區西盛街 中國海,住宅大樓,33.1年,建坪33.43,3房(室)2廳1衛,3/16樓,"1,288 萬"
遠揚新站明亮3房,新北市板橋區南雅南路二段 遠揚新站,住宅大樓,18.3年,建坪39.29,3房(室)2廳2衛,18/22樓,"3,298 萬"
遠揚新站明亮3房,新北市板橋區南雅南路二段 遠揚新站,住宅大樓,18.3年,建坪39.29,3房(室)2廳2衛,18/22樓,"3,298 萬"
裝潢美學三房車位,新北市新店區安忠路 玖宜美學,住宅大樓,11.0年,建坪37.52,3房(室)2廳1衛,10/11樓,"1,780 萬"
圓通宜家1K公寓,新北市中和區圓通路,公寓,43.1年,建坪28.17,3房(室)2廳1衛,5/5樓,"1,198 萬"
重劃光韻華廈大樓,新北市土城區中央路二段 光明華廈,其他,3.9年,建坪98.50,4房(室)2廳2衛,7/9樓,"4,180 萬"
福和魔術大套房,新北市永和區永利路 敦南CATCH,套房,16.5年,建坪18.67,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),6/6樓,"1,260 萬"
