價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"4,380",無,三普安和景觀美屋,台北市大安區復興南路一段,住宅大樓,43.6年,建坪33.27,主+陽28.53,16/16樓,2房(室)2廳1衛,雙捷運SOGO專人管理看101,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運忠孝復興站,"4,380"
"1,650",無,安和捷運低總小宅,台北市大安區信義路四段,辦公商業大樓,29.3年,建坪13.52,主+陽7.61,3/12樓,1房(室)1廳1衛,安和站步行1分鐘，全天管理,永慶房屋新上房間都有窗近捷運信義安和站,"1,650"
"1,688",無,大安捷運景觀小宅,台北市大安區復興南路二段,辦公商業大樓,30.1年,建坪13.92,主+陽9.48,8/11樓,1房(室)1廳1衛,大安捷運步行即可抵達，全天管理,永慶房屋新上近捷運大安站,"1,688"
"2,598",無,大安捷運鋼骨邊間,台北市大安區復興南路二段,住宅大樓,5.2年,建坪17.55,主+陽10.31,6/15樓,1房(室)2廳1衛,屋齡5年新鋼骨結構美宅,永慶房屋廁所有窗房間都有窗近捷運大安站,"2,598"
"2,388",無,中正區透天好便宜,台北市中正區汀州路一段,透天厝,62.4年,建坪22.50,主22.50,1/1樓,4房(室)2廳2衛(含加蓋--房(室)1廳2衛),一樓蓋的透天，土地持分大,永慶房屋近捷運植物園站(施工中),"2,688萬"
"3,388",含車位價200萬元,天玉街全新屋兩房,台北市士林區天玉街,辦公商業大樓,8.7年,建坪38.90,主+陽16.36,5/7樓,2房(室)2廳2衛,自由打造自己完美的家,永慶房屋廁所有窗有天然瓦斯房間都有窗,"3,388"
"5,500",含車位價560萬元,三鐵東區門戶計畫,台北市南港區興華路,住宅大樓,16.5年,建坪70.40,主+陽32.59,3/12樓,4房(室)2廳2衛,"雙車位,低公設,近南港車站",永慶房屋廁所有窗有天然瓦斯近捷運南港站近捷運SB09站(規劃中),"5,500"
"3,288",含車位價,捷運採光高樓兩房,台北市內湖區文德路,華廈,19.5年,建坪31.92,主+陽20.28,9/10樓,2房(室)1廳2衛,次高樓邊間三面採光,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運內湖站,"3,400萬"
"3,980",無,信義安和漂亮三房,台北市大安區通化街,華廈,41.3年,建坪36.50,主+陽33.76,5/7樓,3房(室)2廳2衛,電梯更新裝潢新穎三房,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運信義安和站近捷運台北101/世貿站,"3,980"
"7,588",無,正大安路人潮店王,台北市大安區大安路一段,店面,49.7年,建坪29.02,主26.10,1/7樓,2房(室)2廳1衛(含加蓋2房(室)1廳--衛),面寬約8米5 顯目招牌人潮多,永慶房屋正面大馬路出租中近捷運大安站,"8,800萬"
"8,660",含車位價,敦南綠意極致景觀,台北市大安區敦化南路一段,華廈,30.2年,建坪66.62,主+陽40.99,10/10樓,3房(室)2廳2衛,敦化南路 仁愛圓環 極致景觀,永慶房屋有天然瓦斯房間都有窗近捷運大安站,"9,288萬"
"3,888",含車位價,政大露臺景觀豪邸,台北市文山區政大一街,華廈,20.3年,建坪74.35,主+陽40.28,6/7樓,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),稀有專用超大露臺，一層一戶,永慶房屋有天然瓦斯房間都有窗,"4,500萬"
"3,888",含車位價,政大露臺景觀豪邸,台北市文山區政大一街,華廈,20.3年,建坪74.35,主+陽40.28,6/7樓,4房(室)2廳2衛(含加蓋--房(室)1廳--衛),稀有專用超大露臺，一層一戶,永慶房屋有天然瓦斯房間都有窗,"4,500萬"
