價格,車位價格,標題,地址,房屋類型,屋齡,建坪,實際坪數,樓層,格局,額外資訊1,額外資訊2,原始價格
"1,980",無,內湖漂亮花園三房,台北市內湖區環山路一段,公寓,45.7年,建坪28.38,主+陽28.39,4/4樓,3房(室)2廳2衛(含加蓋1房(室)--廳1衛),頂加大空間使用、採光好,永慶房屋有天然瓦斯房間都有窗近捷運西湖站,"2,180萬"
"1,570",無,杜蘭朵邊間大空間,台北市中山區林森北路,辦公商業大樓,9.3年,建坪14.16,主+陽7.68,4/7樓,3房(室)1廳1衛(含加蓋2房(室)--廳1衛),松江南京步行約8分鐘,永慶房屋,"1,670萬"
"1,880",無,靜心電梯貳房型,台北市文山區仙岩路,住宅大樓,30.5年,建坪23.59,主+陽19.53,7/11樓,1房(室)2廳1衛,有管理 原兩房格局 屋況採光佳,永慶房屋新上有天然瓦斯房間都有窗,"1,880"
"2,850",無,敦北南京景觀美宅,台北市松山區南京東路四段,住宅大樓,0.8年,建坪18.90,主+陽12.96,9/15樓,1房(室)--廳1衛,小巨蛋捷運站旁敦年建設久年營造,永慶房屋有天然瓦斯房間都有窗近捷運台北小巨蛋站近捷運SB05站(規劃中),"2,968萬"
"4,288",無,中正邊間方正四房,台北市大安區和平東路一段,公寓,47.2年,建坪45.05,主+陽45.06,3/5樓,4房(室)2廳2衛,明星學區 戶數單純 採光佳,永慶房屋有天然瓦斯房間都有窗近捷運古亭站,"4,588萬"
"1,088",無,民生建成管理小築,台北市松山區民生東路五段,辦公商業大樓,36.3年,建坪11.41,主+陽9.33,10/20樓,1房(室)1廳1衛,管理佳民生圓環商圈機能佳,永慶房屋有天然瓦斯房間都有窗近捷運SB06站(規劃中)近捷運南京三民站,"1,088"
"1,680",無,北車商三角間公寓,台北市大同區長安西路,公寓,57.6年,建坪14.25,主14.25,4/4樓,2房(室)1廳1衛,台北火車站中山捷運站未來雙子星,永慶房屋新上有天然瓦斯房間都有窗近捷運中山站,"1,680"
"4,168",無,未來雙子星景觀戶,台北市大同區華陰街,辦公商業大樓,13.9年,建坪31.69,主+陽20.39,14/15樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),鄰北車中山捷運站京站六鐵共構,永慶房屋新上房間都有窗近捷運機場台北車站近捷運台北車站,"4,168"
"4,650",含車位價,力麒三房幽靜美居,台北市南港區南港路二段,住宅大樓,16.9年,建坪50.72,主+陽23.66,11/12樓,3房(室)2廳2衛,近南港火車站捷運站稀有三房釋出,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港站,"4,650"
"2,288",無,大安裝潢捷運兩房,台北市大安區樂利路,公寓,41.7年,建坪26.28,主+陽23.38,5/5樓,2房(室)1廳1衛,精美裝潢拎包入住,永慶房屋有天然瓦斯房間都有窗近捷運信義安和站近捷運六張犁站,"2,600萬"
"1,388",無,雙星美妝電梯兩室,台北市大同區天水路,辦公商業大樓,46.9年,建坪18.80,主11.54,11/11樓,2房(室)1廳1衛,高樓精美裝潢採光通風佳,永慶房屋房間都有窗近捷運機場台北車站近捷運北門站,"1,780萬"
"4,238",含車位價,公園首排闊境名邸,台北市南港區舊莊街一段,華廈,35.0年,建坪88.61,主+陽+露65.74,7~8/8樓,5房(室)2廳3衛(含加蓋1房(室)--廳--衛),大空間稀有釋出,永慶房屋有天然瓦斯房間都有窗,"4,888萬"
"5,200",無,國泰名人公園一樓,台北市大安區忠孝東路三段,華廈,52.2年,建坪34.82,主34.82,1/7樓,4房(室)2廳2衛(含加蓋1房(室)--廳--衛),永久棟距公園靜巷,永慶房屋新上有天然瓦斯近捷運忠孝復興站,"5,200"
"5,888",含車位價,尊爵珍稀美景四房,台北市大安區復興南路一段,住宅大樓,29.3年,建坪55.27,主+陽32.04,6/16樓,4房(室)2廳2衛,尊爵稀有景觀四房,永慶房屋有天然瓦斯近捷運忠孝復興站,"5,888"
"1,588",無,國光面公園景觀戶,台北市萬華區國興路,住宅大樓,46.6年,建坪19.08,主+陽19.09,8/12樓,2房(室)1廳1衛,正面青年公園近萬大線捷運站,永慶房屋廁所有窗有天然瓦斯近捷運植物園站(施工中),"1,680萬"
"3,600",含車位價250萬元,稀有捷運邊間三房,台北市北投區豐年路一段,住宅大樓,15.2年,建坪51.83,主+陽23.63,5/12樓,3房(室)2廳2衛,邊間採光通風佳，近捷運站,永慶房屋廁所有窗有天然瓦斯,"4,000萬"
"6,800",無,敦南仁愛精裝鼎佳,台北市大安區仁愛路四段,華廈,44.3年,建坪48.54,主+陽42.53,7/7樓,4房(室)3廳4衛(含加蓋2房(室)1廳2衛),棟距約15米 兩層大空間,永慶房屋新上廁所有窗有天然瓦斯房間都有窗,"6,800"
"9,600",含車位價300萬元,璞園面湖美景,台北市內湖區內湖路二段,住宅大樓,9.9年,建坪75.63,主+陽44.26,7/15樓,4房(室)2廳2衛,湖景無限住戶單純稀有釋出,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運文德站近捷運港墘站,"9,600"
"4,388",含車位價,附中阿曼頂客兩房,台北市大安區大安路一段,住宅大樓,17.0年,建坪30.73,主13.63,2/12樓,2房(室)2廳2衛(含加蓋1房(室)--廳2衛),附中國中部，仁愛國小，超優質學,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大安站,"4,388"
"3,500",含車位價,附中裝潢車庫別墅,台北市文山區政大二街,透天厝,29.4年,建坪65.52,主+平+陽45.20,1~3/4樓,4房(室)2廳3衛,免整理大空間,永慶房屋廁所有窗有天然瓦斯房間都有窗,"3,500"
"2,688",無,更新黑土商店辦,台北市松山區八德路四段,辦公商業大樓,37.2年,建坪36.79,主17.74,2/12樓,--房(室)1廳1衛,近松山捷運站，大面寬二,永慶房屋正面大馬路近捷運松山站近捷運Y36站(施工中),"2,688"
"2,688",無,更新黑土商店辦,台北市松山區八德路四段,辦公商業大樓,37.2年,建坪36.79,主17.74,2/12樓,--房(室)1廳1衛,近松山捷運站，大面寬二,永慶房屋正面大馬路近捷運松山站近捷運Y36站(施工中),"2,688"
"5,980",含車位價,北市邊間電梯美墅,台北市文山區政大一街,透天厝,18.8年,建坪118.22,主+陽101.56,B1~4/4樓,6房(室)3廳5衛(含加蓋--房(室)--廳2衛),屋主誠售，出價即可談,永慶房屋廁所有窗有天然瓦斯房間都有窗,"6,300萬"
"7,680",含車位價,大安高樓方正四房,台北市大安區和平東路一段,住宅大樓,35.6年,建坪59.19,主+陽38.92,10/20樓,4房(室)2廳2衛,全天管理近捷運屋況棒,永慶房屋有天然瓦斯房間都有窗近捷運古亭站,"7,680"
"5,388",無,古亭捷運金店面,台北市中正區羅斯福路二段,店面,18.6年,建坪32.23,主+陽21.12,1/12樓,--房(室)2廳1衛(含加蓋--房(室)1廳--衛),近捷運，中正國中學區，可店可辦,永慶房屋出租中近捷運古亭站,"5,888萬"
"2,888",無,大安捷運首選美邸,台北市大安區樂業街,華廈,41.3年,建坪31.04,主+陽25.15,3/7樓,2房(室)2廳2衛,大安區近捷運，精美裝潢直接入住,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運六張犁站近捷運麟光站,"2,888"
"6,850",含車位價350萬元,華山鋼骨三房坡車,台北市中山區八德路二段,住宅大樓,13.1年,建坪73.81,主+陽38.95,6/20樓,3房(室)2廳2衛,三面採光 全天管理,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運忠孝新生站,"6,850"
"2,198",含車位價,政大邊間綠景三房,台北市文山區政大二街,住宅大樓,22.4年,建坪42.38,主+陽26.09,12/12樓,3房(室)2廳1.5衛,頂樓不怕吵，挑高使用空間大,永慶房屋有天然瓦斯房間都有窗,"2,198"
"2,083",含車位價200萬元,古亭捷運兩房名邸,台北市中正區廈門街,住宅大樓,17.5年,建坪19.36,主+陽11.28,6/15樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),管理嚴謹品質社區,永慶房屋近捷運古亭站,"2,083"
"1,968",無,南京三民獨棟二樓,台北市松山區寶清街,公寓,46.6年,建坪22.28,主+陽22.28,2/5樓,2房(室)2廳1衛,獨棟一層一戶，邊間採光好,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南京三民站近捷運SB06站(規劃中),"1,968"
"5,288",含車位價,天母榮華裝潢1樓,台北市北投區榮華一路,其他,30.6年,建坪79.15,主+陽39.60,B1~1/5樓,5房(室)3廳2衛(含加蓋4房(室)1廳1衛),極新裝潢、有車位,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運明德站近捷運LR10站(規劃中),"5,488萬"
"5,480",無,附中全新裝潢透天,台北市大安區仁愛路四段,透天厝,64.6年,建坪21.00,主21.00,1~2/2樓,2房(室)2廳2衛(含加蓋--房(室)--廳1衛),大土地、邊間、室內全新整修,永慶房屋廁所有窗房間都有窗近捷運大安站,"6,288萬"
"1,660",無,南京晴川方正小宅,台北市松山區南京東路五段,住宅大樓,8.1年,建坪15.80,主+陽10.00,5/12樓,1房(室)1廳1衛,正一房一廳，格局方正，直接入住,永慶房屋新上有天然瓦斯房間都有窗近捷運南京三民站近捷運松山站,"1,660"
"7,980",含車位價700萬元,美校鼎真4房雙車,台北市士林區中山北路六段,華廈,16.9年,建坪95.07,主+陽48.85,3/9樓,4房(室)2廳2衛,24小時管理、稀有游泳池社區,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運LR10站(規劃中),"8,298萬"
"3,100",含車位價190萬元,南京裝潢方正美屋,台北市松山區南京東路五段,住宅大樓,8.1年,建坪35.59,主+陽17.87,2/12樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),邊間格局方正，有裝潢直接入住,永慶房屋有天然瓦斯房間都有窗近捷運南京三民站近捷運松山站,"3,100"
"5,600",無,敦安公園採光住辦,台北市大安區信義路四段,華廈,41.3年,建坪51.58,主+陽47.85,2/7樓,4房(室)2廳1衛,邊間獨層獨戶，近捷運面寬住辦,永慶房屋新上廁所有窗房間都有窗,"5,600"
"3,150",含車位價200萬元,古亭第一名廈,台北市中正區廈門街,辦公商業大樓,17.5年,建坪30.81,主+陽17.64,2/15樓,2房(室)2廳2衛(含加蓋1房(室)--廳--衛),兩衛邊間,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運古亭站,"3,150"
"6,480",無,敦南綠蔭樹海頂加,台北市松山區敦化南路一段,華廈,42.0年,建坪43.41,主+陽41.58,7/7樓,4房(室)3廳3衛(含加蓋2房(室)1廳1衛),敦化南路第一排樹海林蔭,永慶房屋新上有天然瓦斯房間都有窗,"6,480"
"1,680",無,南京微風香榭敦化,台北市松山區南京東路三段,華廈,39.6年,建坪13.13,主+陽7.18,7/7樓,--房(室)1廳1衛,雙敦學區套房,永慶房屋房間都有窗近捷運台北小巨蛋站近捷運南京復興站,"1,680"
"3,980",無,金華樓邊間一樓,台北市內湖區康樂街,公寓,39.0年,建坪49.55,主29.23,B1~1/5樓,3房(室)2廳2衛,邊間可停三台車無障礙空間,永慶房屋有天然瓦斯,"5,088萬"
"3,980",含車位價,美堤一樓招財納福,台北市中山區敬業三路,華廈,25.3年,建坪47.02,主+陽25.92,1/10樓,2房(室)2廳2衛,機能臨路A區一樓 獨立進出口,永慶房屋有天然瓦斯房間都有窗近捷運Y30站(施工中)近捷運劍南路站,"3,980"
"2,850",無,象山捷運鼎佳美寓,台北市信義區信義路五段,公寓,42.9年,建坪36.83,主+陽29.26,5/5樓,7房(室)3廳3衛(含加蓋3房(室)1廳1衛),近捷運、使用空間大、屋況佳,永慶房屋房間都有窗近捷運Y39站(施工中)近捷運Y38站(施工中),"2,960萬"
"3,150",無,青年裝潢大3房,台北市萬華區青年路,住宅大樓,38.6年,建坪40.23,主+陽31.47,2/12樓,3房(室)2廳2衛,永慶房屋優質精選,永慶房屋近捷運廈安站(施工中)近捷運加蚋站(施工中),"3,150"
"11,000",含車位價530萬元,微山丘庭院雙車位,台北市文山區秀明路一段,華廈,7.6年,建坪147.16,主+陽71.95,1~2/5樓,3房(室)3廳4衛,超大庭院邊間朝南一整棟會館公設,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運Y2A站(施工中)近捷運萬芳社區站,"11,000"
"4,480",含車位價,薇閣靜巷庭園一樓,台北市北投區復興一路,華廈,11.6年,建坪60.99,主+陽31.96,1/5樓,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),屋齡新一樓釋出，有庭院,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運新北投站,"4,480"
"3,080",含車位價,內湖冠德邊間4房,台北市內湖區星雲街,住宅大樓,26.7年,建坪33.95,主+陽23.09,4/13樓,4房(室)2廳2衛(含加蓋2房(室)--廳--衛),重劃區環境，室內空間好規劃,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運內湖站近捷運大湖公園站,"3,458萬"
"5,680",含車位價400萬元,昇陽電梯高樓車位,台北市北投區光明路,住宅大樓,14.4年,建坪66.90,主+陽40.59,5/14樓,4房(室)2廳2衛,全天管理,永慶房屋有天然瓦斯房間都有窗近捷運新北投站近捷運北投站,"5,680"
"2,888",含車位價350萬元,鋼骨高樓邊間露臺,台北市文山區景興路,住宅大樓,5.8年,建坪29.87,主+陽13.90,14/27樓,2房(室)1廳1衛,捷運及早夜市、附坡平子母雙車位,永慶房屋廁所有窗有天然瓦斯近捷運景美站近捷運大坪林站,"2,888"
"15,000",無,上林苑唯美美屋,台北市信義區青雲街,透天厝,39.8年,建坪121.42,主+平+陽97.61,B1~3/3樓,6房(室)4廳5衛(含加蓋3房(室)--廳2.5衛),信義區稀有管理別墅社區有天有地,永慶房屋廁所有窗房間都有窗,"19,800萬"
"1,480",無,萬大光仁兩房首選,台北市萬華區萬大路,公寓,55.7年,建坪20.03,主20.03,4/4樓,2房(室)1廳1衛,鄰近青年公園與未來捷運站,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運加蚋站(施工中),"1,600萬"
"5,988",含車位價,富麗金店,台北市內湖區行善路,店面,3.9年,建坪45.38,主27.64,1/15樓,--房(室)1廳1衛,店門口即是公車站,永慶房屋正面大馬路近捷運Y35站(施工中)近捷運SB07站(規劃中),"5,988"
"5,988",含車位價,南港經貿稀有庭院,台北市南港區園區街,住宅大樓,14.5年,建坪48.58,主+陽26.74,1/15樓,3房(室)2廳2衛,南港經貿園區一樓庭院戶,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運南港展覽館站,"5,988"
"5,988",含車位價,南港經貿稀有庭院,台北市南港區園區街,住宅大樓,14.5年,建坪48.58,主+陽26.74,1/15樓,3房(室)2廳2衛,南港經貿園區一樓庭院戶,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運南港展覽館站,"5,988"
"11,588",含車位價,華固天匯免震豪宅,台北市南港區經貿二路,住宅大樓,13.2年,建坪96.96,主+陽53.14,9/23樓,4房(室)2廳2衛,南港經貿園區華固建設全新未住過,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運南港軟體園區站近捷運SB11站(施工中),"11,588"
"9,088",含車位價,遠雄五期四季妍,台北市內湖區新富街,住宅大樓,15.7年,建坪99.01,主+陽52.94,10/13樓,4房(室)2廳2衛,內湖五期重劃區遠雄四房雙車位,永慶房屋廁所有窗房間都有窗近捷運Y35站(施工中)近捷運SB07站(規劃中),"9,088"
"1,480",無,電梯美三房有窗,台北市中山區新生北路三段,辦公商業大樓,42.9年,建坪13.45,主+陽9.81,5/12樓,3房(室)1廳1衛(含加蓋2房(室)--廳--衛),鬧中取靜，生活機能棒,永慶房屋有天然瓦斯房間都有窗近捷運中山國小站,"1,480"
"3,888",含車位價,古亭捷運裝潢坡車,台北市中正區廈門街,住宅大樓,7.0年,建坪41.74,主+陽19.77,2/12樓,2房(室)2廳1衛,全天管理氣派門廳健身房,永慶房屋有天然瓦斯房間都有窗近捷運古亭站,"3,888"
"2,380",無,文湖捷運庭院透天,台北市文山區辛亥路四段,透天厝,52.5年,建坪24.42,主24.42,1~2/2樓,5房(室)3廳2衛(含加蓋2房(室)1廳1衛),步行至辛亥站約8分鐘,永慶房屋新上近捷運辛亥站,"2,380"
"1,368",無,忠孝新生邊間高樓,台北市中山區新生北路一段,住宅大樓,44.8年,建坪17.22,主14.26,9/12樓,--房(室)1廳1衛,忠孝新生捷運站,永慶房屋有天然瓦斯近捷運忠孝新生站,"1,368"
"7,500",含車位價300萬元,信義市府名邸大戶,台北市信義區永吉路,華廈,24.9年,建坪88.70,主+陽60.52,5~6/6樓,6房(室)2廳5衛,信義市府機能商圈適合三代同堂,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運市政府站,"7,500"
"4,120",含車位價,威尼斯稀有美三房,台北市信義區松仁路,華廈,11.5年,建坪34.81,主13.96,2/9樓,3房(室)2廳2衛(含加蓋1房(室)--廳--衛),大坪數三房稀有釋出 可直接入住,永慶房屋有天然瓦斯近捷運Y39站(施工中),"4,120"
"3,780",無,天際名邸龍門三房,台北市大安區建國南路二段,住宅大樓,39.5年,建坪32.92,主+陽26.05,17/18樓,3房(室)2廳1衛,近大安森林公園清幽純住環境,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運大安森林公園站近捷運大安站,"3,780"
"2,438",含車位價,陽光山丘精美兩房,台北市內湖區環山路二段,華廈,7.0年,建坪27.30,主+陽13.29,2/5樓,2房(室)2廳1衛(含加蓋1房(室)--廳--衛),後棟不吵雜 廁所有開窗通風佳,永慶房屋有天然瓦斯房間都有窗近捷運西湖站近捷運港墘站,"2,668萬"
"2,068",含車位價170萬元,延四稀有低總金店,台北市大同區延平北路四段,店面,10.8年,建坪19.86,主11.61,1/7樓,--房(室)1廳--衛,正延平新屋店面稀有低總價,永慶房屋近捷運L002站(規劃中),"2,068"
"6,000",無,晴光靜巷機能一樓,台北市中山區雙城街,公寓,66.1年,建坪17.68,主17.68,1/2樓,2房(室)1廳1衛,生活機能佳,永慶房屋近捷運中山國小站近捷運民權西路站,"6,000"
"2,080",無,降價士東公寓二樓,台北市士林區德行東路,公寓,51.3年,建坪25.24,主+陽25.24,2/4樓,3房(室)--廳1衛,德東優質公寓2樓,永慶房屋廁所有窗房間都有窗近捷運LR09站(規劃中)近捷運LR10站(規劃中),"2,080"
688,無,超低總電梯首選,台北市信義區吳興街,其他,31.5年,建坪11.61,主8.54,B2/5樓,2房(室)2廳1衛,信義區低總價超值首選,永慶房屋有天然瓦斯房間都有窗近捷運Y39站(施工中),688
"23,800",含車位價,領袖名邸花園大戶,台北市信義區忠孝東路五段,華廈,27.0年,建坪98.32,主+陽80.74,1/8樓,6房(室)2廳4衛,坐南朝北，帝王座向，財運滾滾來,永慶房屋廁所有窗有天然瓦斯房間都有窗近捷運永春站近捷運象山站,"26,800萬"
"2,258",無,紫雲綠景景觀華夏,台北市信義區紫雲街,華廈,45.3年,建坪39.45,主+陽38.26,4/7樓,3房(室)1廳2衛,前後陽台保留使用空間大華夏,永慶房屋房間都有窗,"2,580萬"
"2,288",無,北士科魔術大空間,台北市士林區華齡街,公寓,52.4年,建坪29.19,主29.19,4/4樓,5房(室)3廳3衛(含加蓋2房(室)1廳1衛),正邊間採光通風佳魔術空間,永慶房屋有天然瓦斯房間都有窗近捷運劍潭站近捷運L003站(規劃中),"2,488萬"
"2,350",無,萬芳捷運邊間頂加,台北市文山區興隆路二段,公寓,42.9年,建坪36.54,主+陽36.54,5/5樓,4房(室)3廳3衛(含加蓋1房(室)1廳1衛),近萬芳捷運~近興隆公園,永慶房屋近捷運萬芳醫院站近捷運辛亥站,"2,350"
"1,388",無,中山國小美妝3樓,台北市文山區木柵路一段,公寓,57.7年,建坪19.28,主19.28,3/4樓,2房(室)2廳2衛(含加蓋--房(室)--廳1衛),屋況佳，近中山、永健、再興國小,永慶房屋新上近捷運Y3站(施工中)近捷運Y4站(施工中),"1,388"
"2,620",含車位價,美妝捷運電梯兩房,台北市內湖區安康路,華廈,27.8年,建坪34.41,主+陽23.02,8/9樓,2房(室)2廳1衛,鄰近捷運站 生活機能佳,永慶房屋新上近捷運SB11站(施工中)近捷運東湖站,"2,620"
"18,000",含車位價,加碼科技邊間大戶,台北市內湖區內湖路一段,廠辦,26.9年,建坪290.89,主158.95,6/10樓,14房(室)3廳--衛,大樓規劃新穎，地點便利,永慶房屋新上近捷運Y31站(施工中)近捷運西湖站,"18,000"
"5,000",含車位價360萬元,愛迪生精緻辦公,台北市內湖區內湖路一段,廠辦,28.2年,建坪90.55,主49.78,7/8樓,5房(室)1廳--衛,交通便利，大樓備有卸貨區,永慶房屋新上近捷運Y31站(施工中)近捷運西湖站,"5,000"
"12,000",含車位價,加碼科技高指名,台北市內湖區內湖路一段,廠辦,26.9年,建坪195.21,主106.90,6/10樓,12房(室)2廳--衛,大樓規劃新穎，地點便利,永慶房屋新上近捷運Y31站(施工中)近捷運西湖站,"12,000"
"1,320",無,文湖邊間空間小宅,台北市文山區萬安街,華廈,30.5年,建坪17.15,主+陽+露12.66,5/5樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),近捷運，魔術空間，有管理,永慶房屋新上房間都有窗近捷運木柵站近捷運萬芳社區站,"1,428萬"
"2,750",無,靜心靜巷採光三房,台北市文山區興隆路二段,華廈,32.6年,建坪33.18,主+陽26.81,5/7樓,3房(室)2廳2衛,近靜心、靜巷,永慶房屋新上有天然瓦斯房間都有窗近捷運景美站,"2,750"
"3,988",含車位價250萬元,鄰近大直美妝豪邸,台北市內湖區內湖路一段,公寓,35.3年,建坪70.71,主+陽53.74,4~5/5樓,5房(室)2廳3衛(含加蓋1房(室)--廳--衛),大空間、三代同堂首選。,永慶房屋新上有天然瓦斯房間都有窗近捷運劍南路站近捷運Y29站(施工中),"3,988"
"8,662",含車位價,天母河畔毛胚新廈,台北市士林區至誠路一段,住宅大樓,7.3年,建坪109.13,主+陽49.99,3/14樓,#NAME?,心態好大坪數四房雙主臥新屋,永慶房屋近捷運Y27站(施工中),"8,662"
"2,320",無,永泰金城捷運三房,台北市內湖區安康路,華廈,27.9年,建坪36.43,主+陽+露26.87,9/9樓,3房(室)2廳2衛(含加蓋2房(室)--廳--衛),鄰近捷運站 生活機能佳,永慶房屋新上近捷運SB11站(施工中)近捷運東湖站,"2,320"
"1,130",無,政大華府雅致套房,台北市文山區指南路二段,套房,16.4年,建坪11.42,主+陽7.47,4/7樓,1房(室)--廳1衛,近政大、有管理、免爬坡,永慶房屋新上近捷運Y1A站(施工中)近捷運Y2A站(施工中),"1,130"
"1,688",無,近中研院裝潢鼎家,台北市南港區研究院路三段,公寓,47.1年,建坪24.71,主+陽24.72,4/4樓,4房(室)3廳2衛(含加蓋2房(室)1廳1衛),正面綠意樹海 精美裝潢大空間,永慶房屋有天然瓦斯,"1,750萬"
"1,688",無,近中研院裝潢鼎家,台北市南港區研究院路三段,公寓,47.1年,建坪24.71,主+陽24.72,4/4樓,4房(室)3廳2衛(含加蓋2房(室)1廳1衛),正面綠意樹海 精美裝潢大空間,永慶房屋有天然瓦斯,"1,750萬"
"4,480",含車位價,台北轉運三房車位,台北市中山區中山北路一段,住宅大樓,17.6年,建坪52.61,主+陽26.53,3/15樓,3房(室)2廳2衛,近中山站邊間坡車三房衛浴開窗,永慶房屋有天然瓦斯近捷運中山站,"4,800萬"
"3,340",含車位價250萬元,渼士林3房坡車,台北市士林區中正路,住宅大樓,11.3年,建坪46.48,主+陽23.36,9/15樓,3房(室)2廳2衛,指標社區 附近機能佳,永慶房屋有天然瓦斯近捷運Y24站(施工中)近捷運L004站(規劃中),"3,340"
"2,480",無,景美捷運電梯三房,台北市文山區木柵路一段,華廈,42.6年,建坪37.59,主+陽31.54,9/10樓,3房(室)2廳2衛,高樓層電梯三房,永慶房屋近捷運景美站近捷運大坪林站,"2,480"
"6,890",含車位價840萬元,富域雙主臥三房車,台北市北投區大興街,住宅大樓,0.8年,建坪94.84,主+陽44.87,5/27樓,3房(室)2廳3衛,鄰近北投市場北投捷運機能便利,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運北投站近捷運奇岩站,"6,890"
"1,980",含車位價,市場旁小資金店面,台北市北投區清江路,店面,23.6年,建坪30.19,主15.50,1/14樓,#NAME?,北投市場人潮絡繹,永慶房屋出租中近捷運北投站近捷運新北投站,"2,388萬"
"2,098",無,景興學區靜巷一樓,台北市文山區景華街,公寓,45.7年,建坪26.61,主+平26.61,1/5樓,5房(室)3廳2衛(含加蓋3房(室)2廳1衛),一樓免爬樓梯,永慶房屋新上有天然瓦斯房間都有窗近捷運景美站,"2,380萬"
"2,700",無,信義安和捷運兩房,台北市大安區信義路四段,華廈,43.2年,建坪23.23,主+陽20.01,4/7樓,2房(室)1廳1衛(含加蓋--房(室)--廳1衛),信義安和捷運站兩分鐘即到家,永慶房屋廁所有窗房間都有窗近捷運信義安和站,"2,785萬"
"2,880",無,敦北南京全新美宅,台北市松山區南京東路四段,住宅大樓,0.8年,建坪18.90,主+陽12.96,3/15樓,1房(室)1廳1衛,介壽學區機能極佳,永慶房屋有天然瓦斯近捷運台北小巨蛋站近捷運SB05站(規劃中),"2,880"
"1,558",無,巨蛋捷運管理辦公,台北市松山區南京東路四段,辦公商業大樓,42.5年,建坪15.72,主+陽12.09,2/12樓,--房(室)1廳1衛,辦公 敦化國小介壽國中學區,永慶房屋近捷運台北小巨蛋站近捷運南京三民站,"1,558"
"1,948",無,賓特利高樓邊間戶,台北市大同區承德路三段,辦公商業大樓,18.1年,建坪20.95,主+陽13.89,11/12樓,1房(室)1廳1衛,捷運步行約5分鐘高樓邊間,永慶房屋廁所有窗房間都有窗近捷運圓山站近捷運民權西路站,"1,948"
"1,288",無,錦州首購小資置產,台北市中山區錦州街,華廈,47.6年,建坪16.34,主+陽13.41,5/7樓,1房(室)1廳1衛,低總價，小套房，雙面採光,永慶房屋新上房間都有窗近捷運中山國小站近捷運行天宮站,"1,288"
"1,168",無,奇岩雲端微光生活,台北市北投區中央南路二段,辦公商業大樓,10.1年,建坪15.84,主+陽9.98,4/19樓,1房(室)1廳1衛,24小時管理優質大樓機能便捷,永慶房屋新上近捷運奇岩站近捷運L008站(規劃中),"1,168"
"3,380",無,古亭一樓庭院首選,台北市中正區廈門街,公寓,49.7年,建坪34.73,主34.73,1/4樓,2房(室)3廳1衛(含加蓋--房(室)1廳--衛),戶數單純 靜巷住宅,永慶房屋新上廁所有窗有天然瓦斯房間都有窗近捷運古亭站,"3,380"
"1,588",無,青木淳雙敦學區,台北市松山區南京東路四段,住宅大樓,16.9年,建坪8.65,主5.48,4/15樓,1房(室)1廳1衛,雙敦學區24H管理屋齡約16年,永慶房屋新上房間都有窗近捷運台北小巨蛋站近捷運SB05站(規劃中),"1,588"
"3,888",含車位價250萬元,嘉醴美景面樹海,台北市內湖區金莊路,辦公商業大樓,13.8年,建坪58.42,主+陽28.06,4/11樓,2房(室)2廳2衛,面社區中庭樹海綠意景觀,永慶房屋房間都有窗,"3,888"
"1,958",含車位價,永春景觀辦公高樓,台北市信義區忠孝東路五段,辦公商業大樓,32.4年,建坪25.58,主+陽10.91,9/17樓,#NAME?,燙金門牌、稀有三面採光,永慶房屋近捷運Y37站(施工中)近捷運永春站,"2,288萬"
"7,350",無,永康街旁人潮金店,台北市大安區潮州街,店面,39.0年,建坪50.92,主+平19.89,B1~1/7樓,2房(室)2廳2衛(含加蓋2房(室)1廳2衛),師大商圈現況餐飲商一土地潛力佳,永慶房屋有天然瓦斯正面大馬路出租中近捷運東門站,"7,350"
"3,198",含車位價,芬第生活綠地兩房,台北市南港區向陽路,華廈,17.0年,建坪41.56,主+陽20.26,6/9樓,1房(室)2廳1衛,充電樁邊間戶臥室衛浴皆開窗,永慶房屋有天然瓦斯房間都有窗,"3,550萬"
